                                                                                            List of relations
 Schema |                              Name                               | Type  |   Owner    |                     Table                      | Persistence | Access method |    Size    | Description 
 public | facturas_sii_por_distrib_holding_id_folio_tipo_do_5f9c0da1_uniq | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_por_distribuir_holding_id_544787c2                 | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_por_distribuir_pkey                                | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_fecha_d_295e94_idx                                  | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_fecha_e_09301b_idx                                  | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_folio_07d23f_idx                                    | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_folio_9a154c_idx                                    | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_holding_1ccbcb_idx                                  | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_holding_ef290e_idx                                  | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_ve_pdf_des_c810a7_idx                                  | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distrib_usuario_distribuyente_id_91d1c319    | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_cliente_id_c051b0f6             | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_cuenta_id_9e493125              | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_fundo_id_5fa49f55               | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_holding_id_60220756             | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_labor_id_41b55d23               | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_pkey                            | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_distribuidas_usuario_creador_id_8e3a8f3f     | index | admin_prod | facturas_venta_sii_distribuidas                | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_por_d_holding_id_folio_2e9f27d2_uniq         | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_por_distribuir_holding_id_79ef0db4           | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | facturas_venta_sii_por_distribuir_pkey                          | index | admin_prod | facturas_venta_sii_por_distribuir              | permanent   | btree         | 8192 bytes | 
 public | fc_labor_pago_folio_id_1b63847d                                 | index | admin_prod | fc_labor_pago                                  | permanent   | btree         | 16 kB      | 
 public | fc_labor_pago_holding_id_56861658                               | index | admin_prod | fc_labor_pago                                  | permanent   | btree         | 16 kB      | 
 public | fc_labor_pago_labor_id_9539f136                                 | index | admin_prod | fc_labor_pago                                  | permanent   | btree         | 16 kB      | 
 public | fc_labor_pago_pkey                                              | index | admin_prod | fc_labor_pago                                  | permanent   | btree         | 16 kB      | 
 public | firmas_organizacion_holding_id_29a6d0a7                         | index | admin_prod | firmas_organizacion                            | permanent   | btree         | 8192 bytes | 
 public | firmas_organizacion_holding_id_tipo_nombre_65109086_uniq        | index | admin_prod | firmas_organizacion                            | permanent   | btree         | 8192 bytes | 
 public | firmas_organizacion_pkey                                        | index | admin_prod | firmas_organizacion                            | permanent   | btree         | 8192 bytes | 
 public | folio_comercial_cliente_id_07f1fa04                             | index | admin_prod | folio_comercial                                | permanent   | btree         | 16 kB      | 
 public | folio_comercial_fundos_camposclientes_id_11a559bd               | index | admin_prod | folio_comercial_fundos                         | permanent   | btree         | 16 kB      | 
 public | folio_comercial_fundos_foliocomercial_id_5944f97f               | index | admin_prod | folio_comercial_fundos                         | permanent   | btree         | 16 kB      | 
 public | folio_comercial_fundos_foliocomercial_id_campos_b669c176_uniq   | index | admin_prod | folio_comercial_fundos                         | permanent   | btree         | 16 kB      | 
 public | folio_comercial_fundos_pkey                                     | index | admin_prod | folio_comercial_fundos                         | permanent   | btree         | 16 kB      | 
 public | folio_comercial_holding_id_e7704a6f                             | index | admin_prod | folio_comercial                                | permanent   | btree         | 16 kB      | 
 public | folio_comercial_horarios_foliocomercial_id_d706b757             | index | admin_prod | folio_comercial_horarios                       | permanent   | btree         | 16 kB      | 
 public | folio_comercial_horarios_foliocomercial_id_horari_b8861992_uniq | index | admin_prod | folio_comercial_horarios                       | permanent   | btree         | 16 kB      | 
 public | folio_comercial_horarios_horarios_id_889cc6ab                   | index | admin_prod | folio_comercial_horarios                       | permanent   | btree         | 16 kB      | 
 public | folio_comercial_horarios_pkey                                   | index | admin_prod | folio_comercial_horarios                       | permanent   | btree         | 16 kB      | 
 public | folio_comercial_pkey                                            | index | admin_prod | folio_comercial                                | permanent   | btree         | 16 kB      | 
 public | folio_comercial_transpor_foliocomercial_id_empres_d2562f7e_uniq | index | admin_prod | folio_comercial_transportistas                 | permanent   | btree         | 16 kB      | 
 public | folio_comercial_transportistas_empresastransporte_id_2472cae3   | index | admin_prod | folio_comercial_transportistas                 | permanent   | btree         | 16 kB      | 
 public | folio_comercial_transportistas_foliocomercial_id_d778b13a       | index | admin_prod | folio_comercial_transportistas                 | permanent   | btree         | 16 kB      | 
 public | folio_comercial_transportistas_pkey                             | index | admin_prod | folio_comercial_transportistas                 | permanent   | btree         | 16 kB      | 
 public | folio_comercial_vehiculo_foliocomercial_id_vehicu_2ccdad71_uniq | index | admin_prod | folio_comercial_vehiculos                      | permanent   | btree         | 16 kB      | 
 public | folio_comercial_vehiculos_foliocomercial_id_5ca5eca9            | index | admin_prod | folio_comercial_vehiculos                      | permanent   | btree         | 16 kB      | 
 public | folio_comercial_vehiculos_pkey                                  | index | admin_prod | folio_comercial_vehiculos                      | permanent   | btree         | 16 kB      | 
 public | folio_comercial_vehiculos_vehiculostransporte_id_dfa15a7b       | index | admin_prod | folio_comercial_vehiculos                      | permanent   | btree         | 16 kB      | 
 public | folios_transportes_folio_comercial_id_ff10122b                  | index | admin_prod | folios_transportes                             | permanent   | btree         | 16 kB      | 
